experiment,classifier,roc_auc_mean,roc_auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
GO-only PCA (n=50),RandomForest,0.5749350619269318,0.07252377605726887,0.5469018334871993,0.0561553379116189,0.6750410066284687,0.04797731121962437
GO-only PCA (n=50),XGBoost,0.5657492612777165,0.06459084141543991,0.5324562970904434,0.05238189969915198,0.6400232656851645,0.03268229495301979
GO-only PCA (n=50),LogisticRegression,0.6111619034383262,0.05848114925374354,0.5906866394671273,0.06530093262562037,0.613430486824853,0.04633190574214182
GO-only PCA (n=50),SVM,0.5945380876275185,0.0574105499529045,0.5554607542412422,0.064544360840498,0.5598837314318528,0.06661821993209831
GO-only PCA (n=100),RandomForest,0.5744757801668372,0.06673599523122725,0.5411134935525179,0.03735985959457663,0.6923308974039969,0.02866710242185897
GO-only PCA (n=100),XGBoost,0.5804312218946366,0.060799461260417714,0.5392561819391087,0.04477126512182496,0.6483680879759312,0.04405497521924255
GO-only PCA (n=100),LogisticRegression,0.604169934251235,0.05238136790237879,0.5657578645383523,0.04244130791954587,0.6201833254464832,0.03813467249622869
GO-only PCA (n=100),SVM,0.5980511960186756,0.04950903911523964,0.5714181482474165,0.04869132132239318,0.5723551182041828,0.05789643699078861
GO-only PCA (n=150),RandomForest,0.5454659161976234,0.05211067033388461,0.5479337284215333,0.03374118409983097,0.7054975867565719,0.03608583191879485
GO-only PCA (n=150),XGBoost,0.5660149696735062,0.05590303234728764,0.5283455929797393,0.027713501955124942,0.644173126614987,0.028378881628550793
GO-only PCA (n=150),LogisticRegression,0.5902432406497449,0.0263004568004312,0.5380381587698662,0.03344359346025709,0.5900008444823773,0.03754554941033031
GO-only PCA (n=150),SVM,0.5914129532015712,0.04774229882454241,0.5669585157390035,0.04537228255141843,0.5886280361595411,0.04278618095744061
Combined PCA-GO (n=50) + SMILES,RandomForest,0.5445365158779791,0.04327928695566456,0.5382579389896464,0.025276608501525497,0.6500134694719736,0.029475786109532914
Combined PCA-GO (n=50) + SMILES,XGBoost,0.4831696893892016,0.06410329186057129,0.49942238204433326,0.03401286274061679,0.6097127833787055,0.019569056648797177
Combined PCA-GO (n=50) + SMILES,LogisticRegression,0.5550257105135155,0.09997975968670365,0.5541878604683483,0.07373889674428656,0.6254971638304971,0.08411361266574299
Combined PCA-GO (n=50) + SMILES,SVM,0.5519463553609895,0.05930527850882198,0.5119116114238065,0.07547232305216418,0.6892257683215129,0.06502076448253018
Combined PCA-GO (n=100) + SMILES,RandomForest,0.53621534292266,0.05978540101511451,0.5065869293308317,0.02930120892037628,0.6573732628368265,0.021194610998599317
Combined PCA-GO (n=100) + SMILES,XGBoost,0.4796230282815649,0.05547202539847799,0.47176620804669583,0.0674376145613587,0.6158100658389587,0.04504812324288623
Combined PCA-GO (n=100) + SMILES,LogisticRegression,0.5662525189354457,0.10374702201296573,0.5554525397818081,0.07458848118192674,0.6219782650474768,0.09247542179869471
Combined PCA-GO (n=100) + SMILES,SVM,0.5532124244319366,0.0668171629944268,0.5167081856716004,0.05785661929972201,0.6951673674320555,0.05081346834280018
Combined PCA-GO (n=150) + SMILES,RandomForest,0.5118560211243138,0.053432963062492324,0.4789484747411576,0.024876434498998228,0.6484121070715414,0.025954601806170027
Combined PCA-GO (n=150) + SMILES,XGBoost,0.47741713570981864,0.07330064779829477,0.49681919255089985,0.075959095142155,0.6372359235798821,0.06790567115903734
Combined PCA-GO (n=150) + SMILES,LogisticRegression,0.5553484816899452,0.10953396496786597,0.5278434438190536,0.0826465668927952,0.6071304810260634,0.0896667774147058
Combined PCA-GO (n=150) + SMILES,SVM,0.5547415051073588,0.0644793933245513,0.507893648808283,0.06536388442072005,0.6938964882813523,0.052749086650257154
